group_id,time,value
10,476,1,-0.0176039999999999
10,477,1,-0.01676
10,478,1,-0.011345
10,479,1,-0.012077
10,480,1,-0.0105849999999999
10,481,1,-0.022326
10,482,1,-0.0246009999999999
10,483,1,-0.021845
10,484,1,-0.01954
10,485,1,-0.017973
10,486,1,-0.015936
10,487,1,-0.01598
10,488,1,-0.01977
10,489,1,-0.020694
10,490,1,-0.016936
10,491,1,-0.01023
10,492,1,-0.011811
10,493,1,-0.021705
10,494,1,-0.0243
10,495,1,-0.022086
10,496,1,-0.021031
10,497,1,-0.017228
10,498,1,-0.010659
10,499,1,-0.019714
10,500,1,-0.0217979999999999
10,501,1,-0.022587
10,502,1,-0.022071
10,503,1,-0.007418
10,504,1,-0.007895
10,505,1,-0.011781
10,506,1,-0.021002
10,507,1,-0.022304
10,508,1,-0.017557
10,509,1,-0.01722
10,510,1,-0.017943
10,511,1,-0.012462
10,512,1,-0.0167639999999999
10,513,1,-0.021319
10,514,1,-0.025281
10,515,1,-0.014666
10,516,1,-0.016363
10,517,1,-0.018293
10,518,1,-0.023927
10,519,1,-0.021096
10,520,1,-0.017069
10,521,1,-0.015785
10,522,1,-0.010009
10,523,1,-0.018684
10,524,1,-0.022487
10,525,1,-0.020924
10,526,1,-0.016453
10,527,1,-0.013628
10,528,1,-0.015482
10,529,1,-0.018996
10,530,1,-0.0215479999999999
10,531,1,-0.026666
10,532,1,-0.02224
10,533,1,-0.013385
10,534,1,-0.010647
10,535,1,-0.018475
10,536,1,-0.020204
10,537,1,-0.023341
10,538,1,-0.01898
10,539,1,-0.013574
10,540,1,-0.0042049999999999
10,541,1,-0.011648
10,542,1,-0.023061
10,543,1,-0.023928
10,544,1,-0.0234389999999999
10,545,1,-0.01989
10,546,1,-0.011865
10,547,1,-0.019677
10,548,1,-0.01733
10,549,1,-0.024789
10,550,1,-0.020345
10,551,1,-0.016216
10,552,1,-0.009242
10,553,1,-0.009162
10,554,1,-0.016557
10,555,1,-0.019943
10,556,1,-0.018635
10,557,1,-0.019559
10,558,1,-0.013346
10,559,1,-0.017585
10,560,1,-0.017631
10,561,1,-0.022581
10,562,1,-0.021329
10,563,1,-0.012495
10,564,1,-0.007611
10,565,1,-0.0183419999999999
10,566,1,-0.026104
10,567,1,-0.022257
10,568,1,-0.014837
10,569,1,-0.010356
10,570,1,-0.013327
10,571,1,-0.016596
10,572,1,-0.018001
10,573,1,-0.019559
10,574,1,-0.019547
10,575,1,-0.011006
10,576,1,-0.010792
10,577,1,-0.01645
10,578,1,-0.018968
10,579,1,-0.0239349999999999
10,580,1,-0.025344
10,581,1,-0.015742
10,582,1,-0.01199
10,583,1,-0.017821
10,584,1,-0.013483
10,585,1,-0.022333
10,586,1,-0.024645
10,587,1,-0.019808
10,588,1,-0.011738
10,589,1,-0.008588
10,590,1,-0.018184
10,591,1,-0.022621
10,592,1,-0.025931
10,593,1,-0.012265
10,594,1,-0.015436
10,595,1,-0.014979
10,596,1,-0.018811
10,597,1,-0.0158199999999999
10,598,1,-0.022926
10,599,1,-0.0089769999999999
10,600,1,-0.011027
10,601,1,-0.012641
10,602,1,-0.020869
10,603,1,-0.026974
10,604,1,-0.0259079999999999
10,605,1,-0.019468
10,606,1,-0.011744
10,607,1,-0.0133879999999999
10,608,1,-0.022384
10,609,1,-0.032551
10,610,1,-0.02522
10,611,1,-0.012836
10,612,1,-0.0090239999999999
10,613,1,-0.008694
10,614,1,-0.012276
10,615,1,-0.023781
10,616,1,-0.029452
10,617,1,-0.018348
10,618,1,-0.013522
10,619,1,-0.019319
10,620,1,-0.0133759999999999
10,621,1,-0.022912
10,622,1,-0.013108
10,623,1,-0.015324
10,624,1,-0.002871
10,625,1,-0.007719
10,626,1,-0.014425
10,627,1,-0.027318
10,628,1,-0.037187
10,629,1,-0.015764
10,630,1,-0.017357
10,631,1,-0.011763
10,632,1,-0.013968
10,633,1,-0.023961
10,634,1,-0.026645
10,635,1,-0.0143819999999999
10,636,1,-0.021245
10,637,1,-0.0095959999999999
10,638,1,-0.022182
10,639,1,-0.020957
10,640,1,-0.014018
10,641,1,-0.011542
10,642,1,-0.012903
10,643,1,-0.01944
10,644,1,-0.029267
10,645,1,-0.03001
10,646,1,-0.032136
10,647,1,-0.0117299999999999
10,648,1,-0.00061
10,649,1,-0.0075829999999999
10,650,1,-0.016196
10,651,1,-0.018606
10,652,1,-0.0227729999999999
10,653,1,-0.029368
10,654,1,-0.023456
10,655,1,-0.0091659999999999
10,656,1,-0.008702
10,657,1,-0.016575
10,658,1,-0.015996
10,659,1,-0.011466
