TIME1,FT101,PI101,PI102,PT101,TT101,LV101,PV101A,PV101B,FV101
10567,1575.540694,0.508593357,1.410916785,0.515102506,38.45628819,0.943907109,0,1.736386341,100
10568,1571.44945,0.509512631,1.42112464,0.512516599,38.73090768,0.945351043,0,2.169083788,100
10569,1572.053733,0.509717435,1.432483909,0.515197361,38.89621931,0.946553058,0,1.669025559,100
10570,1567.598059,0.510412898,1.430196226,0.51791807,38.9361638,0.947432535,0,2.342378766,100
10571,1561.54066,0.511519193,1.425106759,0.514533313,38.90767456,0.948790945,0,3.039484033,100
10572,1558.692985,0.511730173,1.425698278,0.511947675,39.1228968,0.950308909,0,2.374770857,100
10573,1557.371092,0.511379526,1.427482902,0.511564286,39.24649893,0.951583575,0,1.871642678,100
10574,1563.165887,0.511021242,1.43954467,0.508285956,39.23957552,0.952712215,0,1.850900516,100
10575,1565.303597,0.510070875,1.441406788,0.507449243,39.08027109,0.9538926,0,1.175240782,100
10576,1563.059784,0.509146233,1.435892547,0.507898654,39.21881986,0.955075981,0,1.03213476,100
10577,1560.383351,0.508501076,1.431722804,0.503835703,39.09044558,0.956537766,0,1.174447846,100
10578,1558.609517,0.507173392,1.430149011,0.502904289,38.90268392,0.957861523,0,0.301694858,100
10579,1553.502083,0.505924588,1.42343042,0.504327248,38.83328905,0.958969359,0,0.112757353,100
10580,1555.462163,0.505214495,1.429829499,0.500358472,38.64724181,0.959995035,0,0.449608308,100
10581,1561.713713,0.503845521,1.44061771,0.497882087,38.65475614,0.960995734,0.421550887,0,100
10582,1565.067496,0.502249596,1.443251633,0.499208998,38.94304007,0.961780618,0.978004131,0,100
10583,1563.145804,0.501240219,1.437094452,0.497845751,39.13756499,0.962789488,0.690434085,0,100
10584,1578.691388,0.50016548,1.462367978,0.497719468,38.9041372,0.963974541,1.002196846,0,100
10585,1598.0652,0.499260274,1.486960356,0.497231914,38.96229997,0.965053252,1.042521958,0,100
10586,1618.107172,0.498430386,1.507211584,0.497321131,39.50011723,0.965888639,1.165008465,0,100
10587,1630.365564,0.49777894,1.510711041,0.496056129,39.31122658,0.967472197,1.160114536,0,100
10588,1646.258744,0.497009258,1.523156534,0.496209279,39.10427648,0.969374778,1.460106198,0,100
10589,1651.42101,0.496416942,1.516107927,0.493963847,39.27493792,0.971499246,1.447262084,0,100
10590,1656.414753,0.495502956,1.514041747,0.496335925,38.88985262,0.973470458,1.974456117,0,100
10591,1659.887269,0.495245189,1.512146962,0.497547507,38.830877,0.975733351,1.472751358,0,100
10592,1656.360922,0.495281879,1.500358319,0.497630318,38.86069101,0.977673376,1.219692002,0,100
10593,1648.152616,0.495335242,1.485344616,0.497197002,38.91236563,0.979665252,1.214506745,0,100
10594,1638.659836,0.495297639,1.472938594,0.500568825,39.2836282,0.981648289,1.325252815,0,100
10595,1647.608217,0.495945385,1.495039589,0.499555228,39.26289,0.983351299,0.580323229,0,100
10596,1657.470014,0.496241241,1.510819073,0.502704091,39.19346549,0.984808283,0.80576068,0,100
10597,1668.894042,0.497104507,1.525037659,0.502190408,39.4847089,0.986118065,0.098138386,0,100
10598,1683.155634,0.49768815,1.541334163,0.50414159,39.28200854,0.988183426,0.199101396,0,100
10599,1698.863155,0.498539226,1.557344284,0.50398835,39.22997742,0.990395225,0,0.252937317,100
10600,1723.092872,0.499184309,1.587058496,0.508439177,39.06918847,0.992802977,0,0.241160517,100
10601,1744.043941,0.500576669,1.604975751,0.509441773,38.84370983,0.995484571,0,1.266757873,100
10602,1767.382147,0.501889154,1.626562905,0.504925005,38.89748893,0.998420949,0,1.539258658,100
10603,1786.908036,0.502027942,1.638922275,0.504109999,38.9316871,1.001963127,0,0.572657262,100
10604,1805.765206,0.501975007,1.651386635,0.505537612,38.59624619,1.005658026,0,0.415961065,100
10605,1817.981543,0.502214333,1.652057684,0.502498292,38.65215069,1.009738623,0,0.760492611,100
10606,1828.271298,0.501801334,1.653335479,0.502610251,38.4956649,1.013951262,0,0.105582872,100
10607,1832.213789,0.501492748,1.645689535,0.500529189,38.60985841,1.018403554,0,0.14457039,100
10608,1837.562682,0.500834778,1.646053695,0.497692385,38.72884272,1.022817912,0.310352805,0,100
10609,1844.254392,0.499738451,1.650856531,0.495050297,38.45368955,1.027339199,0.947141597,0,100
10610,1839.186399,0.498330131,1.633218738,0.496616356,38.39670128,1.03173995,1.555624384,0,100
10611,1836.326702,0.497529138,1.626693505,0.494281847,38.26970175,1.036307689,1.229701412,0,100
10612,1831.868884,0.49642,1.619280896,0.494889038,37.99663476,1.041060622,1.774743102,0,100
10613,1828.374476,0.49565674,1.61572212,0.494323767,37.9346667,1.045400831,1.66927145,0,100
10614,1833.922228,0.494932985,1.629848193,0.497171909,37.97595959,1.049850784,1.824850306,0,100
10615,1842.713364,0.494913677,1.645415951,0.493817282,38.17067345,1.054253161,1.213813514,0,100
10616,1861.968262,0.494222079,1.677377732,0.495002651,38.00957119,1.058714452,1.985836516,0,100
10617,1879.837765,0.493891325,1.698367222,0.493670605,38.41463629,1.063613231,1.752540653,0,100
10618,1891.502454,0.493357353,1.703515769,0.494201793,38.24513312,1.068785911,2.080402441,0,100
10619,1907.874561,0.493039573,1.720413317,0.488580118,38.29781739,1.07460455,1.995431423,0,100
10620,1912.830591,0.491652593,1.712221405,0.490991731,38.4879922,1.080642864,3.295009086,0,100
10621,1924.708622,0.491035129,1.724233045,0.488882957,38.32871418,1.086655486,2.813999713,0,100
10622,1932.064426,0.490109916,1.725808675,0.486060824,38.502351,1.09309473,3.339073767,0,100
10623,1936.848378,0.488807911,1.724298223,0.486170023,38.25971923,1.099257982,4.036608589,0,100
10624,1940.518153,0.487789495,1.72322545,0.483549443,38.03863445,1.105876775,4.088649734,0,100
10625,1944.394083,0.486450834,1.724549723,0.487424267,37.85094337,1.112495964,4.755655299,0,100
10626,1947.333796,0.486153777,1.724961374,0.488031046,37.88119172,1.11915448,3.972360566,0,100
10627,1944.335948,0.486037634,1.714359448,0.490308295,38.09457793,1.125902605,3.904698422,0,100
10628,1943.90188,0.486406556,1.71305945,0.488116551,37.97776368,1.132790039,3.457007903,0,100
10629,1944.128341,0.486260971,1.713525212,0.489887084,37.78420203,1.139773061,4.004550706,0,100
10630,1945.36188,0.48649795,1.715923906,0.489947858,37.43754342,1.146600909,3.670654491,0,100
10631,1941.516526,0.486698409,1.707388831,0.489164841,37.2196926,1.153606707,3.712570901,0,100
10632,1931.518146,0.486707946,1.689370765,0.491210995,37.26717907,1.160725963,3.944427949,0,100
10633,1924.244091,0.487133081,1.681829275,0.486661741,37.26428405,1.16798101,3.542613751,0,100
10634,1921.962261,0.486562449,1.684969298,0.484247491,37.23315967,1.175100366,4.616810051,0,100
10635,1921.91909,0.485618924,1.690043043,0.484798039,37.07054544,1.181964721,5.234583731,0,100
10636,1925.554965,0.484972114,1.699957698,0.483642801,37.3483451,1.188912334,5.197074108,0,100
10637,1930.540937,0.484219227,1.709092199,0.484617088,36.98812065,1.196074237,5.541190904,0,100
10638,1928.927163,0.483809306,1.702401037,0.482654216,36.89894202,1.203374741,5.411453867,0,100
10639,1923.714663,0.483095478,1.691219389,0.484381736,36.69071528,1.21090916,5.938687577,0,100
10640,1920.546988,0.482874627,1.687648834,0.480903142,36.56985036,1.218605865,5.644533631,0,100
10641,1930.360957,0.482001009,1.710679367,0.480480181,36.38540814,1.22611375,6.514857048,0,100
10642,1935.853976,0.481202807,1.717372492,0.482970301,36.57801627,1.233489936,6.715267377,0,100
10643,1947.803054,0.481065094,1.73629069,0.484329261,36.36921969,1.240956479,6.261104278,0,100
10644,1954.472641,0.481217651,1.739804586,0.483805777,36.23928343,1.249048661,6.04832226,0,100
10645,1957.572618,0.481238441,1.736959219,0.485183003,36.15486006,1.257108302,6.252556825,0,100
10646,1957.084715,0.481533199,1.729509765,0.485293776,36.27349463,1.265593207,6.031060737,0,100
10647,1961.392069,0.481794693,1.735392009,0.486492589,36.03394195,1.274031147,6.087574779,0,100
10648,1958.159543,0.482238031,1.724737548,0.491440662,36.20680499,1.282443549,5.898126775,0,100
10649,1952.833546,0.483590288,1.713988034,0.493704434,36.36532444,1.290791969,4.856627112,0,100
10650,1948.722074,0.485128063,1.708959052,0.495400366,36.39240787,1.299435214,4.393222887,0,100
10651,1946.282654,0.486697264,1.7081874,0.495286412,36.38026135,1.307852126,4.045415672,0,100
10652,1950.934037,0.487928798,1.721204125,0.492981594,36.58136246,1.316213491,4.096410465,0,100
10653,1951.094895,0.488445172,1.72041036,0.497059954,36.75892143,1.324643005,4.642071637,0,100
10654,1951.767026,0.489678227,1.721197729,0.496923837,36.63655017,1.333165726,3.76100259,0,100
10655,1944.417705,0.49063675,1.705727251,0.495586823,36.76950181,1.34205767,3.807867262,0,100
10656,1927.305951,0.491145588,1.675933769,0.498254255,36.66970574,1.350853143,4.126282817,0,100
10657,1909.27144,0.492099563,1.652744346,0.500669289,36.59651547,1.35973361,3.549049436,0,100
10658,1889.318783,0.493350895,1.630727291,0.502249228,36.73809967,1.368306602,3.014060736,0,100
10659,1872.561144,0.494674496,1.618256071,0.502677385,37.00165962,1.376399721,2.654103455,0,100
10660,1865.56131,0.495819935,1.624159549,0.500741494,37.44230136,1.384311495,2.545183303,0,100
10661,1857.060507,0.496341475,1.621553401,0.502709341,37.66744619,1.391974805,2.967001038,0,100
10662,1848.246247,0.497155756,1.616483787,0.503380242,37.60323559,1.399591035,2.519173449,0,100
10663,1838.940631,0.497943733,1.609727654,0.508132876,37.69499909,1.407495797,2.352983923,0,100
10664,1826.855459,0.499527316,1.597809475,0.507383352,37.58865071,1.415267278,1.262673646,0,100
10665,1824.767255,0.500649736,1.605998167,0.507719809,37.81694501,1.422949601,1.386960306,0,100
10666,1819.010904,0.501605956,1.602428526,0.508752081,37.99828243,1.430521452,1.270480983,0,100
10667,1805.040164,0.502582244,1.583406969,0.510727632,37.95692531,1.437866616,0.995244531,0,100
10668,1803.003887,0.503769504,1.590772224,0.511893444,38.42097392,1.445541006,0.501621352,0,100
10669,1799.810158,0.504941585,1.591566018,0.513711032,38.56641872,1.45301976,0.179728791,0,100
10670,1802.240162,0.506244612,1.601323123,0.512627011,38.81088517,1.460048145,0,0.295551189,100
10671,1811.702461,0.507064278,1.620487711,0.511042936,39.30294008,1.467468067,0,0.126515144,100
10672,1809.565676,0.507394257,1.611621041,0.512961863,39.29350965,1.474795761,0.161245297,0,100
10673,1806.505298,0.508053601,1.604701022,0.514560301,39.46827588,1.482327931,0,0.332208888,100
10674,1801.063401,0.508902347,1.595713759,0.513525421,39.69303817,1.490194775,0,0.763947003,100
10675,1792.853732,0.509377907,1.584106067,0.514637872,39.77090393,1.497610572,0,0.610663295,100
10676,1784.855226,0.50998544,1.575712449,0.515873749,40.0313375,1.504940427,0,0.935910827,100
10677,1785.42056,0.510720327,1.584355837,0.511050708,40.01662425,1.512104776,0,1.295109305,100
10678,1786.237385,0.510335337,1.589258978,0.513612673,40.24487083,1.519056018,0,0.294819093,100
10679,1782.478587,0.510539366,1.5836043,0.516368814,40.28075148,1.525887534,0,0.933321118,100
10680,1777.973763,0.511259029,1.578086121,0.515966871,40.31751589,1.532991689,0,1.629700645,100
10681,1766.349881,0.511756115,1.560814375,0.514507928,40.36939812,1.540078122,0,1.629091072,100
10682,1760.272077,0.511871521,1.557935314,0.51347326,40.41591731,1.546925985,0,1.387917063,100
10683,1752.992994,0.511753108,1.552129756,0.513435175,40.52440554,1.553656521,0,1.234393085,100
10684,1755.171335,0.511653643,1.563730709,0.512707556,40.35869875,1.559958271,0,1.299907912,100
10685,1752.581349,0.511419047,1.561621581,0.511964108,40.22717827,1.566334627,0,1.209723223,100
10686,1744.969424,0.511087835,1.550598379,0.510241705,40.12582062,1.572528597,0,1.111967181,100
10687,1735.556983,0.51048497,1.539159274,0.508438337,39.65839493,1.57901789,0,0.789367927,100
10688,1728.429399,0.509645968,1.534114694,0.509832109,39.84263736,1.585242397,0,0.439037781,100
10689,1714.399681,0.509253067,1.517085537,0.50943103,39.84819353,1.591133022,0,0.799744321,100
10690,1716.93707,0.508868377,1.532775839,0.511270126,39.81627331,1.596783323,0,0.763377707,100
10691,1713.193802,0.508912139,1.530380622,0.50874174,39.83744201,1.602357824,0,1.229964437,100
10692,1708.769274,0.508448294,1.526612461,0.50730276,40.08480733,1.607457733,0,0.721799158,100
10693,1698.225221,0.507791152,1.512514931,0.504925647,40.16208249,1.613083112,0,0.445388634,100
10694,1691.658091,0.506798331,1.508643638,0.502873288,40.25189794,1.618355702,0.050485125,0,100
10695,1674.918848,0.505591423,1.487127243,0.504113626,40.3525684,1.623458065,0.486200968,0,100
10696,1664.221325,0.504887579,1.480915223,0.505171064,40.43436818,1.628125537,0.19070169,0,100
10697,1658.914515,0.50453279,1.483338474,0.503376756,40.31246622,1.632757541,0,0.070375579,100
10698,1650.580049,0.503886237,1.477596537,0.503355365,40.19858352,1.636742353,0.305800218,0,100
10699,1641.401901,0.503369576,1.470520755,0.505464982,40.33840225,1.640709753,0.292051695,0,100
10700,1640.501534,0.503381138,1.477879018,0.504796608,40.33231038,1.644692134,0,0.202121576,100
10701,1641.612937,0.503249068,1.484670374,0.502573675,40.10903966,1.648360379,0,0.081460558,100
10702,1639.675713,0.502696667,1.48320584,0.503536036,40.43066314,1.651778067,0.393429517,0,100
10703,1640.947205,0.502450593,1.487299243,0.503848176,40.45938608,1.655350658,0.162261788,0,100
10704,1638.669008,0.502312811,1.483742155,0.500158126,40.36828997,1.658880267,0.072426013,0,100
10705,1633.411146,0.501468469,1.476101219,0.498922317,40.25343371,1.662155235,0.883367497,0,100
10706,1624.449363,0.500549947,1.464344676,0.49605191,40.21788506,1.665424982,1.161172598,0,100
10707,1614.256032,0.499246683,1.453439591,0.495569421,40.2429699,1.668410476,1.814376584,0,100
10708,1608.393401,0.498111183,1.451740279,0.500599937,40.18776795,1.671091187,1.944892408,0,100
10709,1611.365992,0.498206188,1.463768481,0.501675849,39.97246823,1.673400667,0.834879239,0,100
10710,1609.38652,0.498488249,1.462500594,0.498990373,40.00644024,1.675419875,0.588961549,0,100
10711,1610.938122,0.498181938,1.467057011,0.500088069,39.91839657,1.677391314,1.185319187,0,100
10712,1605.360946,0.498152761,1.458016563,0.498471945,39.91549954,1.679565867,0.943341699,0,100
10713,1609.222544,0.497814233,1.467340299,0.494551588,39.97086749,1.681405125,1.307293162,0,100
10714,1607.124194,0.496749529,1.463233288,0.49401589,40.01021199,1.683241096,2.199738016,0,100
10715,1611.07751,0.495796813,1.470610392,0.494973164,39.73341944,1.684614504,2.350504227,0,100
10716,1627.183233,0.495219444,1.496642142,0.495975571,40.1859446,1.686210121,2.167551504,0,100
10717,1634.476596,0.494942689,1.49992732,0.496484232,40.05004597,1.687423246,1.969156373,0,100
10718,1640.490369,0.49482963,1.501888829,0.499800993,39.80400878,1.688748388,1.876587686,0,100
10719,1650.895649,0.495402316,1.51269724,0.500153639,40.04300837,1.69053991,1.147994848,0,100
10720,1662.659519,0.49592432,1.524190729,0.498350657,40.06449187,1.691973864,1.069567609,0,100
10721,1683.288336,0.495977242,1.550164288,0.499505781,39.94984266,1.693305369,1.475295085,0,100
10722,1700.957904,0.496237307,1.565318582,0.502952991,39.90095674,1.694782767,1.223885965,0,100
10723,1714.02892,0.497133399,1.571006067,0.503278204,40.07996211,1.696319284,0.449258384,0,100
10724,1724.423265,0.497916537,1.57374153,0.506069617,40.23160612,1.698290146,0.359681374,0,100
10725,1743.469656,0.4991014,1.595163418,0.505445102,40.43753027,1.700253268,0,0.287812444,100
10726,1754.41044,0.499911587,1.597783354,0.507886325,40.39001059,1.702112882,0,0.180367265,100
10727,1768.884443,0.501053102,1.609920492,0.507214967,40.41955899,1.703908029,0,0.760811013,100
10728,1778.22493,0.501825202,1.611737929,0.505382892,40.34942792,1.70614598,0,0.652794607,100
10729,1788.849543,0.502079141,1.618584417,0.506175556,40.52008146,1.708145025,0,0.279343997,100
10730,1801.971196,0.502437095,1.630877829,0.508903282,40.46223711,1.710358628,0,0.487695569,100
10731,1807.649928,0.503263487,1.627850487,0.509759511,40.53224611,1.712427535,0,1.13676338,100
10732,1811.125485,0.504101553,1.62432557,0.509946257,40.24844958,1.714602281,0,1.378811097,100
10733,1818.470891,0.504810615,1.631281525,0.50953451,40.37505015,1.716959684,0,1.474599682,100
10734,1823.212853,0.505290077,1.632575814,0.509717255,40.91857648,1.7190691,0,1.436455001,100
10735,1828.894976,0.505711551,1.636851889,0.504890265,40.77162686,1.721091513,0,1.530103928,100
10736,1836.81281,0.50508108,1.64541348,0.502357528,40.58981904,1.723285986,0,0.495062463,100
10737,1836.233579,0.504066197,1.636339898,0.501143829,40.92573112,1.725385238,0.049173288,0,100
