TIME1,FT101,PI101,PI102,PT101,TT101,LV101,PV101A,PV101B,FV101
12436,18471.35413,0.48764169,1.59528105,0.513371898,40.67845325,40.67269036,0,3.696514027,42.17438966
12437,18533.34523,0.488129493,1.606736207,0.511552754,40.56010436,40.72192589,0,3.301419653,42.04106979
12438,18589.55178,0.488098918,1.614594083,0.508597541,40.411199,40.77063533,0,2.964748165,41.91340801
12439,18656.25686,0.487476911,1.623542677,0.502918246,40.48572928,40.82066478,0,2.361887821,41.76467943
12440,18668.19946,0.485825183,1.622227207,0.504053263,40.43330439,40.87378589,0,1.128493365,41.70280651
12441,18684.2259,0.484781023,1.624752799,0.503451418,40.33970674,40.92802128,0,1.400489863,41.63337374
12442,18698.8547,0.483820451,1.6286979,0.503282626,40.19416166,40.98387398,0,1.287066895,41.56524096
12443,18628.99109,0.483007688,1.616365662,0.50338828,40.19469734,41.03868569,0,1.267987107,41.63676731
12444,18576.22688,0.482476997,1.611821845,0.502427738,40.32609751,41.09451713,0,1.309866423,41.68431153
12445,18521.8902,0.481856896,1.608381367,0.502724312,40.20404481,41.15159852,0,1.111899812,41.73784924
12446,18476.63513,0.481420323,1.605255517,0.504122696,40.03855327,41.20566162,0,1.19212986,41.77975271
12447,18534.22415,0.481354945,1.620557087,0.503337564,40.35800319,41.26051354,0,1.522449141,41.65341993
12448,18526.49971,0.481032504,1.617257187,0.505763126,40.37215297,41.31603773,0,1.368076761,41.63208305
12449,18514.90467,0.481324981,1.613926703,0.502814575,40.23859949,41.37205387,0,1.933397439,41.61768121
12450,18520.04773,0.480993014,1.616873419,0.500830511,40.28827037,41.4331862,0,1.300196511,41.57616927
12451,18574.25615,0.480303381,1.628117499,0.498968542,40.30298174,41.49258847,0,0.868270239,41.4526834
12452,18637.90691,0.479319018,1.637781117,0.495669635,40.08405901,41.5517242,0,0.452963917,41.31001614
12453,18621.17887,0.477850812,1.630317326,0.494495381,40.35724834,41.61250794,0.296612632,0,41.29702557
12454,18606.91558,0.476531544,1.628303277,0.494563357,40.53921852,41.67622363,0.585223961,0,41.28100422
12455,18502.78798,0.475493682,1.61216902,0.493197294,40.52531597,41.74142929,0.600170662,0,41.41542995
12456,18375.30511,0.474487678,1.596113732,0.490674234,40.47612952,41.80382032,0.938119422,0,41.59538303
12457,18302.23266,0.473231477,1.593674218,0.488408715,40.23457064,41.8665797,1.544484346,0,41.69295606
12458,18243.90518,0.471723663,1.590476358,0.488855229,40.3034176,41.92599077,2.106650541,0,41.77067009
12459,18123.71308,0.470601347,1.572918721,0.4890023,40.66695857,41.98357192,2.069713781,0,41.9550598
12460,18007.70054,0.469828326,1.55924968,0.491034125,40.9095668,42.04327457,2.097845548,0,42.14018703
12461,17911.65678,0.469641428,1.550887194,0.495098865,40.86926293,42.10346258,1.700156385,0,42.29951102
12462,17906.38472,0.470297151,1.556942975,0.495107462,40.61295725,42.16024014,0.832869796,0,42.3139377
12463,17891.49653,0.470736229,1.555492751,0.495778359,40.50569377,42.21625048,0.857887261,0,42.34470303
12464,17910.98966,0.471236085,1.558058155,0.496629958,40.43068326,42.27271542,0.733509103,0,42.31921068
12465,17821.20574,0.47178264,1.540822023,0.493620033,40.54720594,42.33276169,0.56469257,0,42.47430778
12466,17734.1867,0.471741516,1.529128021,0.49474863,40.47494023,42.39257228,1.261965905,0,42.6305503
12467,17720.26761,0.471958174,1.533307068,0.492929199,40.45624162,42.45353871,1.042556984,0,42.67072371
12468,17763.27052,0.471683215,1.542709536,0.489458639,40.5713006,42.5099487,1.481721297,0,42.61706974
12469,17784.31855,0.47070371,1.542841689,0.488620069,40.67754076,42.56543328,2.303221932,0,42.59719652
12470,17791.72622,0.469779781,1.540677836,0.491468189,40.43478051,42.6241149,2.550296999,0,42.59867375
12471,17814.05267,0.469630865,1.543228049,0.493457746,40.62518102,42.68539682,1.970635525,0,42.57485207
12472,17798.7127,0.469886608,1.539086232,0.495060708,40.6857938,42.7458237,1.568915397,0,42.61227841
12473,17805.63446,0.470448954,1.540322684,0.493362359,40.97498213,42.80563884,1.243429902,0,42.61364298
12474,17688.98772,0.470538678,1.520456539,0.495897352,40.92130112,42.86652666,1.653573724,0,42.82018255
12475,17541.14327,0.471257055,1.501059337,0.495392852,41.18188485,42.92612144,1.118439693,0,43.08610051
12476,17346.28479,0.471798532,1.478991291,0.496230619,41.33989783,42.98664697,1.254769104,0,43.43971186
12477,17207.2235,0.472470727,1.468335626,0.494008689,41.00068383,43.04184223,1.09119189,0,43.7129476
12478,17170.24788,0.472537058,1.471854112,0.496184238,40.91945002,43.09426401,1.612968717,0,43.82521274
12479,17217.67169,0.472927132,1.481905015,0.496387621,40.82180395,43.1435784,1.155334664,0,43.79940365
